dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,SLSQPEnsemble_5-models_opt-mae_1-windows,4047804.820154599,4047804.820154599,301.65711332774873,0.910328045510256,2.4512521988359617,0.7846946915306726,23.40388850730831,2011.9157090083568,3.8002328194661614,0.5697889117126888,0.4852713032886446,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,4489248.783364197,4489248.783364197,320.15329198658947,0.9238785873067856,2.7077166640492125,0.7897197624337763,20.79733477800277,2118.78474210199,4.82969715716674,0.7297784496178773,0.6244333159092658,Web/CloudOps,2
bitbrains_fast_storage/5T/short,SLSQPEnsemble_5-models_opt-mae_1-windows,1676709.403075048,1676709.403075048,150.30405376419486,0.8799801398850242,1.3645159656321435,0.7020890304933219,21.7504848209424,1294.878142172092,3.5046458399132394,0.4068046711045444,0.3271215723698919,Web/CloudOps,2
bitbrains_fast_storage/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,2749146.0829014685,2749146.0829014685,273.9534042605869,1.044886242685253,2.51430999121842,0.5531879258178706,21.54879188882111,1658.0549094953003,3.157983672200284,0.5217802936707082,0.3956975084397734,Web/CloudOps,2
bitbrains_rnd/5T/long,SLSQPEnsemble_5-models_opt-mae_1-windows,2387162.5839807787,2387162.5839807787,167.30385385040736,2.2562522039273984,1.457642550240949,0.6339945268470405,76.23734130594279,1545.044524918547,6.010720313435939,0.6508658207812982,0.5927235026749283,Web/CloudOps,2
bitbrains_rnd/5T/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,2471427.0261324723,2471427.0261324723,163.0639476573331,2.671846944207577,0.7079616215935111,0.6480590217827809,92.93931865026794,1572.077296487826,5.808336489941881,0.6024705524900347,0.5556188650156088,Web/CloudOps,2
bitbrains_rnd/5T/short,SLSQPEnsemble_5-models_opt-mae_1-windows,1614291.0798378375,1614291.0798378375,124.6576440914072,4.745136295456675,0.801128786750761,0.6616293346496631,176.00817360272998,1270.5475511911538,4.999116034702268,0.4904798933667025,0.4176465587833465,Web/CloudOps,2
bitbrains_rnd/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,1426145.2521509929,1426145.2521509929,139.24383612168958,3.486628757953452,1.6590158454923136,0.5145726438269255,112.60698349259556,1194.2132356287937,4.326744954264014,0.5044932909612776,0.4146297526856316,Web/CloudOps,2
bizitobs_application/10S/long,SLSQPEnsemble_5-models_opt-mae_1-windows,1805931.367997902,1805931.367997902,579.7073655724546,1.3116708979216034,0.0196690767638893,0.0199267140498235,20.71267778253862,1343.8494588300812,0.0547319978008392,0.0236101908953878,0.0209079790507564,Web/CloudOps,2
bizitobs_application/10S/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,1847648.1087537024,1847648.1087537024,641.2054429268812,1.4282635355990316,0.0207009915569168,0.0210484236689101,11.338972313921762,1359.282203500694,0.0547010772882601,0.0258037870288195,0.0216743589825625,Web/CloudOps,2
bizitobs_application/10S/short,SLSQPEnsemble_5-models_opt-mae_1-windows,210344.62456158357,210344.62456158357,263.2943150445128,0.6261946831156197,0.0103888479080136,0.0104358920101371,3.970542441980597,458.6334315786231,0.0165580527683074,0.0095057203900214,0.0073566699899021,Web/CloudOps,2
bizitobs_l2c/5T/long,SLSQPEnsemble_5-models_opt-mae_1-windows,88.41071429040399,88.41071429040399,6.129727263497599,0.617628854669949,0.4034837772582353,0.6902539182542359,4.662354116918179,9.402697181681647,0.4697316931018302,0.3062235345986348,0.241102524480285,Web/CloudOps,7
bizitobs_l2c/5T/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,75.39133961292849,75.39133961292849,5.171381520028262,0.5230483264243329,0.3483044269171682,0.8073441472582292,4.90840235019202,8.682818644479942,0.4739052016936765,0.2822521928224302,0.2270981338341567,Web/CloudOps,7
bizitobs_l2c/5T/short,SLSQPEnsemble_5-models_opt-mae_1-windows,9.853923647709944,9.853923647709944,1.913968790422388,0.1992925713242726,0.0703810634869466,0.0745030799801475,1.4276937690352531,3.1390959921146,0.091601934664795,0.0558515077369853,0.0445071737456005,Web/CloudOps,7
bizitobs_l2c/H/long,SLSQPEnsemble_5-models_opt-mae_1-windows,54.20342361486953,54.20342361486953,3.62683301959647,0.3823284190640229,0.4416936260975712,0.6864642666863068,7.315187192861805,7.362297441347335,0.4677441515907458,0.2304212709724478,0.2031765346906855,Web/CloudOps,7
bizitobs_l2c/H/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,43.09736561627408,43.09736561627408,3.268016211207584,0.3402224950164203,0.4123768833656181,0.6754633237154356,6.104031617835044,6.564858385089055,0.4170809642112104,0.2076247913472448,0.1817313136883301,Web/CloudOps,7
bizitobs_l2c/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,54.48850271460166,54.48850271460166,4.295835019818117,0.4273248359955849,0.3411001812048781,0.6616786009608582,2.6475728228743654,7.38163279461947,0.3894701766307772,0.2266571191626838,0.1764327189889973,Web/CloudOps,7
bizitobs_service/10S/long,SLSQPEnsemble_5-models_opt-mae_1-windows,33622.5952884903,33622.5952884903,30.62103630760944,0.8330895400572906,0.0699115740704053,0.0629432480350159,9.504694499992455,183.3646511421716,0.1424093204433356,0.0237816882625664,0.0210927029810756,Web/CloudOps,2
bizitobs_service/10S/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,12381.22597127859,12381.22597127859,27.09280811274827,0.8206988634197938,0.0539844439978927,0.0505365659883983,7.025492445409193,111.2709574474786,0.0855620240389789,0.0208330686838979,0.015835475535781,Web/CloudOps,2
bizitobs_service/10S/short,SLSQPEnsemble_5-models_opt-mae_1-windows,1615.862477096316,1615.862477096316,17.518798178061992,0.6513208249636914,0.0764211852862886,0.0404447182227798,5.63204469698229,40.197791943044784,0.0282124601492596,0.0122954115529973,0.0095033833688133,Web/CloudOps,2
