dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,TSOrchestra-Toto2,4745372.209641526,4745372.209641526,367.62914913985776,0.8817523119796552,3.43395085916793,0.8107226625541353,18.521213870292048,2178.38752512989,5.756827763425425,0.9715340672852076,0.8013920583954237,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TSOrchestra-Toto2,3493080.86755465,3493080.86755465,275.42128280405745,0.9436392850697548,2.57549076040575,0.7952819160115224,21.453448682653743,1868.97856262576,5.678472899032566,0.8368059010919703,0.6603619609096195,Web/CloudOps,2
bitbrains_fast_storage/5T/short,TSOrchestra-Toto2,1586636.3550241094,1586636.3550241094,144.11394195094996,0.6177581137017782,1.8254949355704728,0.71839148658369,12.603483686979292,1259.6175431551076,3.9548875638326417,0.4524821362594566,0.3593610517373203,Web/CloudOps,2
bitbrains_fast_storage/H/short,TSOrchestra-Toto2,2778410.1564585213,2778410.1564585213,281.3569525382373,1.0393115721695212,3.5652377628066545,0.5803499643999794,21.44457965057374,1666.8563694747431,4.75108204462514,0.8019586989106335,0.5966786818408536,Web/CloudOps,2
bitbrains_rnd/5T/long,TSOrchestra-Toto2,2862436.389341623,2862436.389341623,185.1614238142192,3.258589861283298,1.664774660841407,0.6666384063529113,115.61644324566072,1691.8736327934257,6.481186872164391,0.7093117157187296,0.6285331181521688,Web/CloudOps,2
bitbrains_rnd/5T/medium,TSOrchestra-Toto2,2366132.054609726,2366132.054609726,154.99272271437846,4.367982391793689,0.9690297224905168,0.6984702781882427,161.10883042124806,1538.2236685897556,6.4720911643731664,0.6521334001715996,0.6009028524410458,Web/CloudOps,2
bitbrains_rnd/5T/short,TSOrchestra-Toto2,1368473.1280301742,1368473.1280301742,100.5888942506463,1.571019169884523,1.0164742847968566,0.633181951443838,51.2550367752973,1169.8175618574778,4.78655576951749,0.4115807180739479,0.3530665150901575,Web/CloudOps,2
bitbrains_rnd/H/short,TSOrchestra-Toto2,1974710.13102472,1974710.13102472,174.41300425134534,5.8218487896651006,2.4714212866692136,0.5545024018369987,198.54017472611875,1405.2437977179334,6.150034552673903,0.7633166603000658,0.6251064664964567,Web/CloudOps,2
bizitobs_application/10S/long,TSOrchestra-Toto2,6541867.261716979,6541867.261716979,1552.1643938290572,3.2861241147481963,0.0478366320400816,0.0489203568991148,58.70381341060098,2557.7074230093203,0.0986405518567211,0.0598607764915937,0.0545370630473724,Web/CloudOps,2
bizitobs_application/10S/medium,TSOrchestra-Toto2,3632658.3601320274,3632658.3601320274,1046.5358529894154,2.2967901980410512,0.032744838138823,0.0334431091117961,21.864614345363623,1905.9533992550887,0.0748411804327186,0.0410943828078386,0.0352526460819605,Web/CloudOps,2
bizitobs_application/10S/short,TSOrchestra-Toto2,323428.96315266925,323428.96315266925,309.2734883275398,1.1244802892729455,0.0154680904573869,0.015620371419232,6.702470252519993,568.7081528804289,0.0219328002651449,0.0119274422433306,0.0094142426143096,Web/CloudOps,2
bizitobs_l2c/5T/long,TSOrchestra-Toto2,74.77443170672919,74.77443170672919,5.373618396178763,0.540214374867519,0.3887118846661101,0.7277480889114791,4.752029146112581,8.647221039543814,0.4855285337517082,0.301720639371504,0.2411957494135418,Web/CloudOps,7
bizitobs_l2c/5T/medium,TSOrchestra-Toto2,60.20604252170208,60.20604252170208,4.8142210746675085,0.4760921134819495,0.343735864515849,0.6097370711701101,3.485079462710308,7.759255281385069,0.4082509325912992,0.2532988247143817,0.199094214110541,Web/CloudOps,7
bizitobs_l2c/5T/short,TSOrchestra-Toto2,13.109386591406578,13.109386591406578,1.8905650392190831,0.1946905679654328,0.083857659642359,0.1713516272865418,1.5309262333735214,3.6206886902088913,0.1243491050635781,0.0649296558765504,0.0519599999867393,Web/CloudOps,7
bizitobs_l2c/H/long,TSOrchestra-Toto2,100.73271794908176,100.73271794908176,5.787874397351442,0.6141139706934104,0.7133748446879856,0.8078650101480591,14.68466065444918,10.036569032746288,0.6130626038422118,0.3535400730244391,0.3218553942083617,Web/CloudOps,7
bizitobs_l2c/H/medium,TSOrchestra-Toto2,72.58938218448773,72.58938218448773,5.01619438634545,0.5051879240800451,0.5625669167759317,0.7950693418208532,9.228219695713769,8.519940268833329,0.5158953243239819,0.3037381892549565,0.2686246288666628,Web/CloudOps,7
bizitobs_l2c/H/short,TSOrchestra-Toto2,49.31083628250887,49.31083628250887,4.179542790415592,0.4144520178358989,0.3713729197964479,0.5801238800443083,2.6309368160777877,7.02216749177267,0.3785128118883075,0.2252880603974809,0.1752333824258566,Web/CloudOps,7
bizitobs_service/10S/long,TSOrchestra-Toto2,130255.68954247152,130255.68954247152,76.27377459151273,1.3203422635634343,0.0859397932335373,0.0797359048313658,20.39166410365609,360.9095309665173,0.2673733185276892,0.0565060506286759,0.0525153168834017,Web/CloudOps,2
bizitobs_service/10S/medium,TSOrchestra-Toto2,22388.7314111168,22388.7314111168,38.62752862232417,0.9989729959356556,0.0643409193916249,0.0570500364138407,9.123411337718624,149.62864502199034,0.1126140442589891,0.0290719883031118,0.021724996640797,Web/CloudOps,2
bizitobs_service/10S/short,TSOrchestra-Toto2,1932.885744902341,1932.885744902341,17.016742844056534,0.7037896848967539,0.0500689153766364,0.0406012693057495,4.954278321394792,43.96459649425138,0.0325703795532703,0.0126065474810803,0.0098568357409577,Web/CloudOps,2
